"tanggal","suhu (celcius)"
"42668","28.64"
"42669","29.09"
"42670","27.25"
"42671","28.84"
"42672","27.25"
"42673","27.93"
"42674","27.43"
"42675","28.31"
"42676","28.12"
"42677","28.39"
"42678","29.5"
"42679","29.85"
"42680","29.62"
"42681","28.87"
"42682","28.85"
"42683","28.24"
"42684","28.46"
"42685","27.96"
"42686","28.07"
"42687","27.58"
"42688","28.61"
"42689","28"
"42690","29.25"
"42691","30.24"
"42692","30.35"
"42693","30.44"
"42694","29.05"
"42695","29.66"
"42696","28.14"
"42697","28.96"
"42698","28.31"
"42699","29.37"
"42700","29.05"
"42701","29.72"
"42702","27.82"
"42703","29.31"
"42704","29.74"
"42705","28.81"
"42706","28.35"
"42707","28"
"42708","28.98"
"42709","28.4"
"42710","28.12"
"42711","28.25"
"42712","28.59"
"42713","26.33"
"42714","25.69"
"42715","27"
"42716","28.3"
"42717","30.49"
"42718","30.27"
"42719","30.24"
"42720","28.98"
"42721","29.7"
"42722","29.36"
"42723","27.81"
"42724","27.3"
"42725","28.3"
"42726","28.77"
"42727","26.66"
"42728","28.41"
"42729","28.26"
"42730","29.28"
"42731","29.09"
"42732","29.54"
"42733","29.08"
"42734","29.79"
"42735","29.9"
"42736","29.05"
"42737","28.67"
"42738","27.71"
"42739","26.86"
"42740","28.06"
"42741","27.5"
"42742","29.43"
"42743","29.34"
"42744","28.71"
"42745","29.42"
"42746","28.12"
"42747","27.34"
"42748","28.72"
"42749","29.01"
"42750","29.47"
"42751","28.47"
"42752","28.25"
"42753","28.52"
"42754","29.7"
"42755","30.37"
"42756","29.34"
"42757","28.39"
"42758","27.46"
"42759","28.12"
"42760","29.45"
"42761","30.13"
"42762","28.62"
"42763","28.79"
"42764","27.37"
"42765","28.08"
"42766","27.74"
"42767","26.37"
"42768","29.84"
"42769","29.86"
"42770","28.15"
"42771","28.8"
"42772","29.38"
"42773","27.1"
"42774","27.22"
"42775","27.28"
"42776","30.26"
"42777","30.42"
"42778","31.52"
"42779","30.65"
"42780","30.17"
"42781","30.81"
"42782","31.2"
"42783","31.04"
"42784","30.85"
"42785","30.5"
"42786","28.66"
"42787","28.62"
"42788","28.93"
"42789","27.66"
"42790","30.39"
"42791","29.98"
"42792","28.99"
"42793","29.12"
"42794","26.42"
"42795","29.63"
"42796","29.01"
"42797","27.42"
"42798","29.65"
"42799","28.12"
"42800","26.65"
"42801","27.78"
"42802","28.28"
"42803","30.22"
"42804","30.52"
"42805","27.48"
"42806","29.42"
"42807","29.96"
"42808","30.27"
"42809","29.54"
"42810","29.42"
"42811","30.29"
"42812","30.2"
"42813","29.9"
"42814","30.19"
"42815","29.4"
"42816","30.49"
"42817","29.92"
"42818","29.45"
"42819","29.11"
"42820","28.84"
"42821","27.82"
"42822","27.39"
"42823","29.38"
"42824","29.33"
"42825","29.62"
"42826","29.44"
"42827","28.86"
"42828","29.48"
"42829","28.96"
"42830","28.73"
"42831","30.38"
"42832","29.22"
"42833","29.22"
"42834","29.22"
"42835","29.22"
"42836","29.22"
"42837","29.22"
"42838","29.22"
"42839","29.22"
"42840","29.22"
"42841","29.22"
"42842","29.22"
"42843","29.22"
"42844","29.22"
"42845","29.22"
"42846","30.33"
"42847","28.92"
"42848","29.68"
"42849","30.19"
"42850","28.57"
"42851","28.39"
"42852","29.05"
"42853","27.65"
"42854","29.08"
"42855","29.92"
"42856","28.86"
"42857","29.31"
"42858","29.06"
"42859","29"
"42860","28.7"
"42861","28.7"
"42862","29.67"
"42863","27.81"
"42864","28.88"
"42865","28.88"
"42866","28.88"
"42867","28.88"
"42868","28.88"
"42869","28.88"
"42870","28.88"
"42871","28.88"
"42872","28.88"
"42873","28.88"
"42874","28.88"
"42875","28.88"
"42876","28.88"
"42877","28.88"
"42878","28.88"
"42879","28.88"
"42880","28.88"
"42881","28.88"
"42882","28.88"
"42883","28.88"
"42884","28.88"
"42885","28.88"
"42886","28.88"
"42887","29.08"
"42888","29.08"
"42889","29.08"
"42890","29.08"
"42891","29.08"
"42892","29.08"
"42893","29.08"
"42894","29.08"
"42895","29.08"
"42896","29.08"
"42897","29.08"
"42898","26.12"
"42899","29.42"
"42900","29.74"
"42901","29.91"
"42902","30.09"
"42903","30.09"
"42904","27.36"
"42905","28.66"
"42906","28.86"
"42907","29.42"
"42908","30.01"
"42909","29.06"
"42910","29.7"
"42911","29.28"
"42912","29.37"
"42913","28.75"
"42914","28.92"
"42915","28.5"
"42916","29.26"
"42917","29.52"
"42918","28.63"
"42919","28.82"
"42920","29.14"
"42921","26.53"
"42922","28.07"
"42923","26.25"
"42924","28.17"
"42925","29.38"
"42926","29.17"
"42927","28"
"42928","28.37"
"42929","28.47"
"42930","26.94"
"42931","26.83"
"42932","25.64"
"42933","28.11"
"42934","28.77"
"42935","29.35"
"42936","30.18"
"42937","29.24"
"42938","27.93"
"42939","27.31"
"42940","29.15"
"42941","28.91"
"42942","27.83"
"42943","27.45"
"42944","28.53"
"42945","28.33"
"42946","26.79"
"42947","29.86"
"42948","29.37"
"42949","28.84"
"42950","29.19"
"42951","27.99"
"42952","28.07"
"42953","25.69"
"42954","28.53"
"42955","28.92"
"42956","27.54"
"42957","28.98"
"42958","27.26"
"42959","26.69"
"42960","26.24"
"42961","28"
"42962","28.41"
"42963","26.91"
"42964","27.04"
"42965","28.21"
"42966","27.45"
"42967","26.91"
"42968","27.68"
"42969","26.35"
"42970","27.82"
"42971","28.2"
"42972","28.38"
"42973","28.14"
"42974","27.92"
"42975","28.17"
"42976","29.83"
"42977","28.44"
"42978","29.65"
"42979","27.17"
"42980","27.76"
"42981","27.66"
"42982","29.04"
"42983","27.08"
"42984","26.71"
"42985","27.82"
"42986","28.47"
"42987","26.76"
"42988","26.28"
"42989","28.2"
"42990","29.22"
"42991","28.34"
"42992","28.1"
"42993","27.76"
"42994","26.61"
"42995","28.12"
"42996","30.69"
"42997","28.05"
"42998","25.57"
"42999","24.69"
"43000","28.86"
"43001","27.28"
"43002","27.25"
"43003","29.63"
"43004","30.28"
"43005","28.62"
"43006","28.62"
"43007","27.21"
"43008","27.24"
"43009","27.24"
"43010","28.87"
"43011","29.58"
"43012","27.98"
"43013","28.54"
"43014","29.44"
"43015","26.59"
"43016","26.73"
"43017","27.14"
"43018","25.26"
"43019","27.5"
"43020","29.01"
"43021","29.74"
"43022","27.32"
"43023","26.45"
"43024","29.05"
"43025","27.67"
"43026","26.27"
"43027","27.56"
"43028","27.93"
"43029","27.89"
"43030","27.91"
"43031","29.05"
"43032","28.33"
"43033","28.53"
"43034","27.84"
"43035","27.81"
"43036","28.48"
"43037","26.08"
"43038","27.96"
"43039","28.05"
"43040","28.82"
"43041","27.27"
"43042","26.22"
"43043","26.43"
"43044","26.97"
"43045","28.56"
"43046","27.85"
"43047","25.85"
"43048","27.26"
"43049","27.11"
"43050","26.08"
"43051","27.02"
"43052","28.76"
"43053","28.57"
"43054","28.75"
"43055","28.84"
"43056","27.48"
"43057","27.55"
"43058","25.81"
"43059","28.79"
"43060","27.79"
"43061","27.86"
"43062","27.77"
"43063","26.7"
"43064","28.36"
"43065","25.88"
"43066","26.48"
"43067","28.06"
"43068","27.16"
"43069","26.95"
"43070","27.44"
"43071","27.44"
"43072","26.13"
"43073","26.14"
"43074","26.89"
"43075","27.77"
"43076","28.99"
"43077","27.5"
"43078","28.06"
"43079","25.98"
"43080","28.53"
"43081","26.94"
"43082","28.35"
"43083","26.96"
"43084","27.22"
"43085","26.53"
"43086","25.79"
"43087","26.77"
"43088","27.35"
"43089","27.32"
"43090","28.19"
"43091","27.31"
"43092","26.38"
"43093","26.56"
"43094","26.79"
"43095","26.5"
"43096","27.61"
"43097","29.02"
"43098","28.93"
"43099","28.61"
"43100","26.85"
